problem_type,order_prime_number,alpha,beta,p,result_x,time_seconds
1,3,526,712,967,713,0.005120038986206055
1,3,94,43,113,61,0.026066064834594727
1,4,687,211,1499,826,0.027754783630371094
1,4,6086,975,6947,1109,0.009798288345336914
1,5,22748,54927,72251,29151,0.0362246036529541
1,5,58175,71295,93941,32117,0.017479658126831055
1,5,25016,41581,57073,55430,0.016747713088989258
1,6,562358,28946,767881,485059,0.031627655029296875
1,6,80984,32035,387839,95741,0.027768373489379883
1,7,6666767,147459,9826753,9302872,0.05846738815307617
1,8,67827389,89919187,92520767,28685778,0.08438730239868164
1,8,23417497,44175021,59607281,8181040,0.20896339416503906
1,8,32957045,16355968,50009233,25206576,0.38596463203430176
1,8,89749448,89873572,99198353,59650509,0.0915825366973877
1,9,20274217,65055392,104611643,36978146,0.2153172492980957
2,3,280,258,293,156,0.013724565505981445
2,3,516,554,809,218,0.014634370803833008
2,3,544,914,983,37,0.005089282989501953
2,3,128,321,389,248,0.01139378547668457
2,4,964,165,1439,543,0.005091190338134766
2,4,1016,4150,4507,2128,0.01120615005493164
2,4,883,1006,2459,893,0.014439821243286133
2,5,45014,73402,75653,36955,0.01833939552307129
2,5,7367,1872,10559,5662,0.0032041072845458984
2,5,77542,51093,78583,71880,0.015559911727905273
2,5,21790,69827,71483,26926,0.010383844375610352
2,6,656243,681265,802163,87848,0.03230714797973633
2,6,451208,275573,522989,331693,0.047868967056274414
2,7,4499837,3274226,7787803,7680940,0.03689312934875488
2,7,3209311,5213542,7106531,1669825,0.04074263572692871
2,7,3589,1090816,1856747,469054,0.020787477493286133
2,7,1123404,1186784,1761161,1061587,0.02565622329711914
2,8,21571180,61327898,94569647,18614856,0.06772470474243164
2,8,11620966,54902,26601031,25256780,0.06298422813415527
2,8,24239174,1710516,60778217,31740801,0.08041715621948242
2,9,391885765,10838772,864728693,240232554,0.18194079399108887
2,12,497197285485,539166831022,558494613689,503769047146,1.4033262729644775
