problem_type,order_prime_number,alpha,beta,p,result_x,time_seconds
1,3,526,712,967,713,0.5974013805389404
1,3,94,43,113,61,0.4153449535369873
1,4,1268,2565,3701,2242,0.5335719585418701
1,4,6086,975,6947,1109,0.6203536987304688
1,4,2789,1812,4447,2837,0.6613609790802002
1,5,1336,23473,75307,51419,0.6072309017181396
1,5,58175,71295,93941,32117,0.6344621181488037
1,5,25016,41581,57073,55430,0.5095255374908447
1,6,80984,32035,387839,95741,0.6882915496826172
1,7,6666767,147459,9826753,9302872,0.7872216701507568
1,8,67827389,89919187,92520767,28685778,1.5765159130096436
1,8,23417497,44175021,59607281,8181040,2.01472806930542
1,8,32957045,16355968,50009233,25206576,1.4131109714508057
1,8,89749448,89873572,99198353,59650509,1.3713293075561523
1,9,20274217,65055392,104611643,36978146,2.207401990890503
2,3,280,258,293,156,0.34294795989990234
2,3,516,554,809,218,0.35323643684387207
2,3,544,914,983,37,0.33124685287475586
2,3,128,321,389,248,0.3305823802947998
2,4,964,165,1439,543,0.46793437004089355
2,4,883,1006,2459,893,0.39902758598327637
2,5,45014,73402,75653,36955,0.43052101135253906
2,5,3265,13483,99317,79163,1.1528809070587158
2,5,7367,1872,10559,5662,0.7488651275634766
2,5,77542,51093,78583,71880,0.6772282123565674
2,5,21790,69827,71483,26926,0.4595494270324707
2,6,656243,681265,802163,87848,0.546593189239502
2,7,4499837,3274226,7787803,7680940,0.7755930423736572
2,7,3209311,5213542,7106531,1669825,1.3378162384033203
2,7,3589,1090816,1856747,469054,0.6712484359741211
2,7,1123404,1186784,1761161,1061587,0.6095528602600098
2,8,21571180,61327898,94569647,18614856,2.3284904956817627
2,8,11620966,54902,26601031,25256780,2.73592472076416
2,8,24239174,1710516,60778217,31740801,1.886059045791626
2,12,497197285485,539166831022,558494613689,503769047146,12.461050748825073
